,Symbol,Name
302,MOSP,Motilal Oswal S&P BSE Low Volatility
303,DSPF,DSP Nifty Midcap 150 Quality 50
304,AITB,Aditya Birla Sun Life Nifty IT
305,INVO,Invesco India Nifty
306,HDFD,HDFC Nifty 1D Rate Liquid
307,IIPR,ICICI Prudential Nifty Oil & Gas
308,MIRY,Mirae Asset Nifty 8-13 yr G-Sec
309,IDTI,Indiabulls NIFTY50
310,DSPH,DSP Nifty Healthcare
311,UTIE,UTI Nifty 10 yr Benchmark G-Sec
312,BARS,Baroda BNP Paribas Gold
313,BARB,BHARAT Bond ETF April 2023 Growth
314,SBII,SBI NIFTY 1D Rate
315,NAVY,Navi Nifty 50
316,UTIT,UTI Nifty 5 Yr Benchmark G-Sec
317,BHAB,BHARAT Bond ETF April 2030 Growth
318,AXIP,Axis S&P BSE Sensex
319,HDFD,HDFC Nifty 1D Rate Liquid
320,SBIT,SBI Sensex Next 50
321,BARE,BHARAT Bond ETF April 2031 Growth
322,BARF,BHARAT Bond ETF April 2025 Growth
323,ICCR,ICICI Prudential Nifty Metal
324,MOTF,Motilal Oswal Nifty India Defence
325,AXIE,Axis Technology ETF
326,IIPR,ICICI Prudential Nifty Oil & Gas
327,GRON,Groww Nifty EV & New Age Automotive
328,BHRB,BHARAT Bond April 2032 Growth
329,MIRY,Mirae Asset Nifty 8-13 yr G-Sec
330,LICO,LIC MF Nifty 50
331,DSPI,DSP Nifty Bank
332,LICM,LIC MF Sensex
333,BANP,Bandhan S&P BSE Sensex
334,IICE,ICICI Prudential 5 Year G-SEC
335,NIPL,Nippon India Nifty CPSE Bond Plus SDL - 2024 Matur
336,MOTL,Motilal Oswal 5 Year G-Sec
337,HDFT,HDFC NIFTY100 Quality 30
338,BRAO,BHARAT Bond - April 2033
339,ICIK,ICICI Prudential Nifty 10 yr Benchmark G-Sec
340,HFCN,HDFC Nifty IT
341,MIRF,Mirae Asset Nifty 100 Low Volatility 30
342,DSPX,DSP S&P BSE Sensex
343,BARB,BHARAT Bond ETF April 2023 Growth
