Symbol,Underlying,SecurityName,DateofListing,MarketLot,ISINNumber,FaceValue
GSEC10YEAR,MiraeAssetNifty8-13YrG-SecETF,MIRAEAMC-MAGS813ETF,10-Apr-23,1,INF769K01KF8,10
SILVERETF,UTISilverExchangeTradedFund(UTISilverETF),UTIAMC-SILVERETF,20-Apr-23,1,INF789F1AYK6,75.81
GOLDETFADD,DSPGOLDETF,DSPAMC-DSPGOLDETF,05-May-23,1,INF740KA1SW3,10
SILVRETF,MiraeAssetSilverETF,MIRAEAMC-MASILVER,15-Jun-23,1,INF769K01KG6,10
ITETFADD,DSPNiftyITETF,DSPAMC-DSPITETF,13-Jul-23,1,INF740KA1SX1,10
BANKETF,MiraeAssetNiftyBankETF,MIRAEAMC-BANKETF,26-Jul-23,1,INF769K01KR3,400
LIQUID,MiraeAssetNifty1DRateLiquidETF,MIRAEAMC-LIQUID,31-Jul-23,1,INF769K01KS1,1000
PVTBANKADD,DSPNiftyPrivateBankETF,DSPAMC-DSPPVBKETF,02-Aug-23,1,INF740KA1TA7,10
PSUBANKADD,DSPNiftyPSUBankETF,DSPAMC-DSPPSBKETF,02-Aug-23,1,INF740KA1SY9,10
SENSEXADD,DSPS&PBSESensexETF,DSPAMC-DSPSENXETF,02-Aug-23,1,INF740KA1SZ6,10
QUAL30IETF,ICICIPrudentialNifty200Quality30ETF,ICICIPRAMC-ICICIQTY30,10-Aug-23,1,INF109KC18V5,10
HDFCLIQUID,HDFCNifty1DRateLiquidETF,HDFCAMC-HDFCLIQUID,31-Aug-23,1,INF179KC1HE2,1000
NIFMID150,UTINiftyMidcap150ExchangeTradedFund(ETF),UTIAMC-NIFMID150,05-Sep-23,1,INF789F1AYX9,10
NAVINIFTY,NaviNifty50ETF,NAVIAMC-NAVINIFTY,25-Sep-23,1,INF959L01HI3,10
SENSEXETF,MiraeAssetS&PBSESensexETF,MIRAEAMC-SENSEXETF,06-Oct-23,1,INF769K01KT9,10
MONIFTY500,MotilalOswalNifty500ETF,MOTILALAMC-MONIFTY500,06-Oct-23,1,INF247L01BU1,10
ITETF,MiraeAssetNiftyITETF,MIRAEAMC-ITETF,27-Oct-23,1,INF769K01KV5,10
ALPHAETF,MiraeAssetNifty200Alpha30ETF,MIRAEAMC-ALPHAETF,27-Oct-23,1,INF769K01KU7,10
LIQUIDSBI,SBINIFTY1DRateETF,SBIAMC-LIQUIDSBI,02-Nov-23,1,INF200KA13Z8,1000
EGOLD,EdelweissGoldETF,EDELAMC-EGOLD,10-Nov-23,1,INF754K01SE6,10
ESILVER,EdelweissSilverETF,EDELAMC-Esilver,24-Nov-23,1,INF754K01SF3,10
BBNPPGOLD,BarodaBNPParibasGoldETF,BARODABNP-BBNPPGOLD,19-Dec-23,1,INF251K01SU9,10
TATSILV,TataSilverExchangeTradedFund,TATAAML-TATSILV,17-Jan-24,1,INF277KA1984,1
TATAGOLD,TataGoldExchangeTradedFund,TATAAML-TATAGOLD,17-Jan-24,1,INF277KA1976,1
LIQUIDCASE,ZerodhaNifty1DRateLiquidETF,ZERODHAAMC-LIQUIDCASE,24-Jan-24,1,INF0R8F01034,100
NIFTYBETF,BajajFinservNifty50ETF,BFAM-NIFTYBETF,29-Jan-24,1,INF0QA701722,10
BANKBETF,BajajFinservNiftyBankETF,BFAM-BANKBETF,29-Jan-24,1,INF0QA701714,10
NIFITETF,UTINiftyITETF,UTIAMC-NIFITETF,01-Feb-24,1,INF789F1AZD8,10
NIF10GETF,UTINifty10yrBenchmarkG-SecETF,UTIAMC-NIF10GETF,02-Feb-24,1,INF789F1AZF3,10
NIF5GETF,UTINifty5yrBenchmarkG-SecETF,UTIAMC-NIF5GETF,02-Feb-24,1,INF789F1AZE6,10
HEALTHADD,DSPNiftyHealthcareETF,DSPAMC-HEALTHADD,07-Feb-24,1,INF740KA1UF4,10
HDFCPSUBK,HDFCNIFTYPSUBANKETF,HDFCAMCHDFCPSUBK,07-Feb-24,1,INF179KC1HW4,62.78
LICNMID100,LICMFNiftyMidcap100ETF,LICNAMC-LICNMID100,19-Feb-24,1,INF767K01RN1,10
SMALLCAP,MiraeAssetNiftySmallcap250MomentumQuality100ETF,MIRAEAMC-SMALLCAP,29-Feb-24,1,INF769K01LC3,10
GOLDCASE,ZerodhaGoldETF,ZERODHAAMC-GOLDCASE,01-Mar-24,1,INF0R8F01042,10
MOREALTY,MotilalOswalNiftyRealtyETF,MOTILALAMC-MOREALTY,21-Mar-24,1,INF247L01CI4,10
